Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
2021-08-13,Brentford,Arsenal,2.0,0.0,H
2021-08-14,Man United,Leeds,5.0,1.0,H
2021-08-14,Watford,Aston Villa,3.0,2.0,H
2021-08-14,Leicester,Wolves,1.0,0.0,H
2021-08-14,Everton,Southampton,3.0,1.0,H
2021-08-14,Chelsea,Crystal Palace,3.0,0.0,H
2021-08-14,Burnley,Brighton,1.0,2.0,A
2021-08-14,Norwich City,Liverpool,0.0,3.0,A
2021-08-15,Newcastle,West Ham,2.0,4.0,A
2021-08-15,Tottenham,Man City,1.0,0.0,H
2021-08-21,Liverpool,Burnley,2.0,0.0,H
2021-08-21,Man City,Norwich City,5.0,0.0,H
2021-08-21,Leeds,Everton,2.0,2.0,D
2021-08-21,Crystal Palace,Brentford,0.0,0.0,D
2021-08-21,Aston Villa,Newcastle,2.0,0.0,H
2021-08-21,Brighton,Watford,2.0,0.0,H
2021-08-22,Wolves,Tottenham,0.0,1.0,A
2021-08-22,Southampton,Man United,1.0,1.0,D
2021-08-22,Arsenal,Chelsea,0.0,2.0,A
2021-08-23,West Ham,Leicester,4.0,1.0,H
2021-08-28,Man City,Arsenal,5.0,0.0,H
2021-08-28,West Ham,Crystal Palace,2.0,2.0,D
2021-08-28,Norwich City,Leicester,1.0,2.0,A
2021-08-28,Newcastle,Southampton,2.0,2.0,D
2021-08-28,Brighton,Everton,0.0,2.0,A
2021-08-28,Aston Villa,Brentford,1.0,1.0,D
2021-08-28,Liverpool,Chelsea,1.0,1.0,D
2021-08-29,Tottenham,Watford,1.0,0.0,H
2021-08-29,Burnley,Leeds,1.0,1.0,D
2021-08-29,Wolves,Man United,0.0,1.0,A
2021-09-11,Crystal Palace,Tottenham,,,
2021-09-11,Watford,Wolves,,,
2021-09-11,Southampton,West Ham,,,
2021-09-11,Man United,Newcastle,,,
2021-09-11,Leicester,Man City,,,
2021-09-11,Brentford,Brighton,,,
2021-09-11,Arsenal,Norwich City,,,
2021-09-11,Chelsea,Aston Villa,,,
2021-09-12,Leeds,Liverpool,,,
2021-09-13,Everton,Burnley,,,
2021-09-17,Newcastle,Leeds,,,
2021-09-18,Wolves,Brentford,,,
2021-09-18,Norwich City,Watford,,,
2021-09-18,Man City,Southampton,,,
2021-09-18,Liverpool,Crystal Palace,,,
2021-09-18,Burnley,Arsenal,,,
2021-09-18,Aston Villa,Everton,,,
2021-09-19,West Ham,Man United,,,
2021-09-19,Brighton,Leicester,,,
2021-09-19,Tottenham,Chelsea,,,
2021-09-25,Chelsea,Man City,,,
2021-09-25,Watford,Newcastle,,,
2021-09-25,Man United,Aston Villa,,,
2021-09-25,Leicester,Burnley,,,
2021-09-25,Leeds,West Ham,,,
2021-09-25,Everton,Norwich City,,,
2021-09-25,Brentford,Liverpool,,,
2021-09-26,Southampton,Wolves,,,
2021-09-26,Arsenal,Tottenham,,,
2021-09-27,Crystal Palace,Brighton,,,
2021-10-02,Man United,Everton,,,
2021-10-02,Wolves,Newcastle,,,
2021-10-02,Leeds,Watford,,,
2021-10-02,Chelsea,Southampton,,,
2021-10-02,Burnley,Norwich City,,,
2021-10-02,Brighton,Arsenal,,,
2021-10-03,West Ham,Brentford,,,
2021-10-03,Tottenham,Aston Villa,,,
2021-10-03,Crystal Palace,Leicester,,,
2021-10-03,Liverpool,Man City,,,
2021-10-16,Watford,Liverpool,,,
2021-10-16,Southampton,Leeds,,,
2021-10-16,Norwich City,Brighton,,,
2021-10-16,Man City,Burnley,,,
2021-10-16,Leicester,Man United,,,
2021-10-16,Aston Villa,Wolves,,,
2021-10-16,Brentford,Chelsea,,,
2021-10-17,Everton,West Ham,,,
2021-10-17,Newcastle,Tottenham,,,
2021-10-18,Arsenal,Crystal Palace,,,
2021-10-22,Arsenal,Aston Villa,,,
2021-10-23,Chelsea,Norwich City,,,
2021-10-23,Southampton,Burnley,,,
2021-10-23,Leeds,Wolves,,,
2021-10-23,Everton,Watford,,,
2021-10-23,Crystal Palace,Newcastle,,,
2021-10-23,Brighton,Man City,,,
2021-10-24,West Ham,Tottenham,,,
2021-10-24,Brentford,Leicester,,,
2021-10-24,Man United,Liverpool,,,
2021-10-30,Leicester,Arsenal,,,
2021-10-30,Watford,Southampton,,,
2021-10-30,Newcastle,Chelsea,,,
2021-10-30,Man City,Crystal Palace,,,
2021-10-30,Liverpool,Brighton,,,
2021-10-30,Burnley,Brentford,,,
2021-10-30,Tottenham,Man United,,,
2021-10-31,Norwich City,Leeds,,,
2021-10-31,Aston Villa,West Ham,,,
2021-11-01,Wolves,Everton,,,
2021-11-06,West Ham,Liverpool,,,
2021-11-06,Southampton,Aston Villa,,,
2021-11-06,Man United,Man City,,,
2021-11-06,Leeds,Leicester,,,
2021-11-06,Everton,Tottenham,,,
2021-11-06,Crystal Palace,Wolves,,,
2021-11-06,Chelsea,Burnley,,,
2021-11-06,Brighton,Newcastle,,,
2021-11-06,Brentford,Norwich City,,,
2021-11-06,Arsenal,Watford,,,
2021-11-20,Wolves,West Ham,,,
2021-11-20,Watford,Man United,,,
2021-11-20,Tottenham,Leeds,,,
2021-11-20,Norwich City,Southampton,,,
2021-11-20,Newcastle,Brentford,,,
2021-11-20,Man City,Everton,,,
2021-11-20,Liverpool,Arsenal,,,
2021-11-20,Leicester,Chelsea,,,
2021-11-20,Burnley,Crystal Palace,,,
2021-11-20,Aston Villa,Brighton,,,
2021-11-27,Norwich City,Wolves,,,
2021-11-27,Man City,West Ham,,,
2021-11-27,Liverpool,Southampton,,,
2021-11-27,Leicester,Watford,,,
2021-11-27,Crystal Palace,Aston Villa,,,
2021-11-27,Chelsea,Man United,,,
2021-11-27,Burnley,Tottenham,,,
2021-11-27,Brighton,Leeds,,,
2021-11-27,Brentford,Everton,,,
2021-11-27,Arsenal,Newcastle,,,
2021-11-30,Wolves,Burnley,,,
2021-11-30,West Ham,Brighton,,,
2021-11-30,Watford,Chelsea,,,
2021-11-30,Leeds,Crystal Palace,,,
2021-11-30,Everton,Liverpool,,,
2021-11-30,Aston Villa,Man City,,,
2021-11-30,Man United,Arsenal,,,
2021-12-01,Tottenham,Brentford,,,
2021-12-01,Southampton,Leicester,,,
2021-12-01,Newcastle,Norwich City,,,
2021-12-04,Wolves,Liverpool,,,
2021-12-04,West Ham,Chelsea,,,
2021-12-04,Watford,Man City,,,
2021-12-04,Tottenham,Norwich City,,,
2021-12-04,Southampton,Brighton,,,
2021-12-04,Newcastle,Burnley,,,
2021-12-04,Man United,Crystal Palace,,,
2021-12-04,Leeds,Brentford,,,
2021-12-04,Everton,Arsenal,,,
2021-12-04,Aston Villa,Leicester,,,
2021-12-11,Norwich City,Man United,,,
2021-12-11,Man City,Wolves,,,
2021-12-11,Liverpool,Aston Villa,,,
2021-12-11,Leicester,Newcastle,,,
2021-12-11,Crystal Palace,Everton,,,
2021-12-11,Chelsea,Leeds,,,
2021-12-11,Burnley,West Ham,,,
2021-12-11,Brighton,Tottenham,,,
2021-12-11,Brentford,Watford,,,
2021-12-11,Arsenal,Southampton,,,
2021-12-14,Norwich City,Aston Villa,,,
2021-12-14,Leicester,Tottenham,,,
2021-12-14,Burnley,Watford,,,
2021-12-14,Brighton,Wolves,,,
2021-12-14,Brentford,Man United,,,
2021-12-14,Arsenal,West Ham,,,
2021-12-14,Crystal Palace,Southampton,,,
2021-12-15,Man City,Leeds,,,
2021-12-15,Liverpool,Newcastle,,,
2021-12-15,Chelsea,Everton,,,
2021-12-18,Wolves,Chelsea,,,
2021-12-18,West Ham,Norwich City,,,
2021-12-18,Watford,Crystal Palace,,,
2021-12-18,Tottenham,Liverpool,,,
2021-12-18,Southampton,Brentford,,,
2021-12-18,Newcastle,Man City,,,
2021-12-18,Man United,Brighton,,,
2021-12-18,Leeds,Arsenal,,,
2021-12-18,Everton,Leicester,,,
2021-12-18,Aston Villa,Burnley,,,
2021-12-26,Wolves,Watford,,,
2021-12-26,West Ham,Southampton,,,
2021-12-26,Tottenham,Crystal Palace,,,
2021-12-26,Norwich City,Arsenal,,,
2021-12-26,Newcastle,Man United,,,
2021-12-26,Man City,Leicester,,,
2021-12-26,Liverpool,Leeds,,,
2021-12-26,Burnley,Everton,,,
2021-12-26,Brighton,Brentford,,,
2021-12-26,Aston Villa,Chelsea,,,
2021-12-28,Crystal Palace,Norwich City,,,
2021-12-28,Watford,West Ham,,,
2021-12-28,Chelsea,Brighton,,,
2021-12-28,Brentford,Man City,,,
2021-12-28,Arsenal,Wolves,,,
2021-12-28,Southampton,Tottenham,,,
2021-12-28,Man United,Burnley,,,
2021-12-28,Leicester,Liverpool,,,
2021-12-28,Leeds,Aston Villa,,,
2021-12-28,Everton,Newcastle,,,
2022-01-01,Watford,Tottenham,,,
2022-01-01,Southampton,Newcastle,,,
2022-01-01,Man United,Wolves,,,
2022-01-01,Leicester,Norwich City,,,
2022-01-01,Leeds,Burnley,,,
2022-01-01,Everton,Brighton,,,
2022-01-01,Crystal Palace,West Ham,,,
2022-01-01,Chelsea,Liverpool,,,
2022-01-01,Brentford,Aston Villa,,,
2022-01-01,Arsenal,Man City,,,
2022-01-15,Wolves,Southampton,,,
2022-01-15,West Ham,Leeds,,,
2022-01-15,Tottenham,Arsenal,,,
2022-01-15,Norwich City,Everton,,,
2022-01-15,Newcastle,Watford,,,
2022-01-15,Man City,Chelsea,,,
2022-01-15,Liverpool,Brentford,,,
2022-01-15,Burnley,Leicester,,,
2022-01-15,Brighton,Crystal Palace,,,
2022-01-15,Aston Villa,Man United,,,
2022-01-22,Watford,Norwich City,,,
2022-01-22,Southampton,Man City,,,
2022-01-22,Man United,West Ham,,,
2022-01-22,Leicester,Brighton,,,
2022-01-22,Leeds,Newcastle,,,
2022-01-22,Everton,Aston Villa,,,
2022-01-22,Crystal Palace,Liverpool,,,
2022-01-22,Chelsea,Tottenham,,,
2022-01-22,Brentford,Wolves,,,
2022-01-22,Arsenal,Burnley,,,
2022-02-08,Wolves,Arsenal,,,
2022-02-08,West Ham,Watford,,,
2022-02-08,Norwich City,Crystal Palace,,,
2022-02-08,Burnley,Man United,,,
2022-02-08,Brighton,Chelsea,,,
2022-02-08,Aston Villa,Leeds,,,
2022-02-09,Tottenham,Southampton,,,
2022-02-09,Newcastle,Everton,,,
2022-02-09,Man City,Brentford,,,
2022-02-09,Liverpool,Leicester,,,
2022-02-12,Watford,Brighton,,,
2022-02-12,Tottenham,Wolves,,,
2022-02-12,Norwich City,Man City,,,
2022-02-12,Newcastle,Aston Villa,,,
2022-02-12,Man United,Southampton,,,
2022-02-12,Leicester,West Ham,,,
2022-02-12,Everton,Leeds,,,
2022-02-12,Chelsea,Arsenal,,,
2022-02-12,Burnley,Liverpool,,,
2022-02-12,Brentford,Crystal Palace,,,
2022-02-19,Wolves,Leicester,,,
2022-02-19,West Ham,Newcastle,,,
2022-02-19,Southampton,Everton,,,
2022-02-19,Man City,Tottenham,,,
2022-02-19,Liverpool,Norwich City,,,
2022-02-19,Leeds,Man United,,,
2022-02-19,Crystal Palace,Chelsea,,,
2022-02-19,Brighton,Burnley,,,
2022-02-19,Aston Villa,Watford,,,
2022-02-19,Arsenal,Brentford,,,
2022-02-26,West Ham,Wolves,,,
2022-02-26,Southampton,Norwich City,,,
2022-02-26,Man United,Watford,,,
2022-02-26,Leeds,Tottenham,,,
2022-02-26,Everton,Man City,,,
2022-02-26,Crystal Palace,Burnley,,,
2022-02-26,Chelsea,Leicester,,,
2022-02-26,Brighton,Aston Villa,,,
2022-02-26,Brentford,Newcastle,,,
2022-02-26,Arsenal,Liverpool,,,
2022-03-05,Wolves,Crystal Palace,,,
2022-03-05,Watford,Arsenal,,,
2022-03-05,Tottenham,Everton,,,
2022-03-05,Norwich City,Brentford,,,
2022-03-05,Newcastle,Brighton,,,
2022-03-05,Man City,Man United,,,
2022-03-05,Liverpool,West Ham,,,
2022-03-05,Leicester,Leeds,,,
2022-03-05,Burnley,Chelsea,,,
2022-03-05,Aston Villa,Southampton,,,
2022-03-12,West Ham,Aston Villa,,,
2022-03-12,Southampton,Watford,,,
2022-03-12,Man United,Tottenham,,,
2022-03-12,Leeds,Norwich City,,,
2022-03-12,Everton,Wolves,,,
2022-03-12,Crystal Palace,Man City,,,
2022-03-12,Chelsea,Newcastle,,,
2022-03-12,Brighton,Liverpool,,,
2022-03-12,Brentford,Burnley,,,
2022-03-12,Arsenal,Leicester,,,
2022-03-19,Wolves,Leeds,,,
2022-03-19,Watford,Everton,,,
2022-03-19,Tottenham,West Ham,,,
2022-03-19,Norwich City,Chelsea,,,
2022-03-19,Newcastle,Crystal Palace,,,
2022-03-19,Man City,Brighton,,,
2022-03-19,Liverpool,Man United,,,
2022-03-19,Leicester,Brentford,,,
2022-03-19,Burnley,Southampton,,,
2022-03-19,Aston Villa,Arsenal,,,
2022-04-02,Brighton,Norwich City,,,
2022-04-02,Burnley,Man City,,,
2022-04-02,Chelsea,Brentford,,,
2022-04-02,Crystal Palace,Arsenal,,,
2022-04-02,Leeds,Southampton,,,
2022-04-02,Liverpool,Watford,,,
2022-04-02,Man United,Leicester,,,
2022-04-02,Tottenham,Newcastle,,,
2022-04-02,West Ham,Everton,,,
2022-04-02,Wolves,Aston Villa,,,
2022-04-09,Arsenal,Brighton,,,
2022-04-09,Aston Villa,Tottenham,,,
2022-04-09,Brentford,West Ham,,,
2022-04-09,Everton,Man United,,,
2022-04-09,Leicester,Crystal Palace,,,
2022-04-09,Man City,Liverpool,,,
2022-04-09,Newcastle,Wolves,,,
2022-04-09,Norwich City,Burnley,,,
2022-04-09,Southampton,Chelsea,,,
2022-04-09,Watford,Leeds,,,
2022-04-16,Aston Villa,Liverpool,,,
2022-04-16,Everton,Crystal Palace,,,
2022-04-16,Leeds,Chelsea,,,
2022-04-16,Man United,Norwich City,,,
2022-04-16,Newcastle,Leicester,,,
2022-04-16,Southampton,Arsenal,,,
2022-04-16,Tottenham,Brighton,,,
2022-04-16,Watford,Brentford,,,
2022-04-16,West Ham,Burnley,,,
2022-04-16,Wolves,Man City,,,
2022-04-23,Arsenal,Man United,,,
2022-04-23,Brentford,Tottenham,,,
2022-04-23,Brighton,Southampton,,,
2022-04-23,Burnley,Wolves,,,
2022-04-23,Chelsea,West Ham,,,
2022-04-23,Crystal Palace,Leeds,,,
2022-04-23,Leicester,Aston Villa,,,
2022-04-23,Liverpool,Everton,,,
2022-04-23,Man City,Watford,,,
2022-04-23,Norwich City,Newcastle,,,
2022-04-30,Aston Villa,Norwich City,,,
2022-04-30,Everton,Chelsea,,,
2022-04-30,Leeds,Man City,,,
2022-04-30,Man United,Brentford,,,
2022-04-30,Newcastle,Liverpool,,,
2022-04-30,Southampton,Crystal Palace,,,
2022-04-30,Tottenham,Leicester,,,
2022-04-30,Watford,Burnley,,,
2022-04-30,West Ham,Arsenal,,,
2022-04-30,Wolves,Brighton,,,
2022-05-07,Arsenal,Leeds,,,
2022-05-07,Brentford,Southampton,,,
2022-05-07,Brighton,Man United,,,
2022-05-07,Burnley,Aston Villa,,,
2022-05-07,Chelsea,Wolves,,,
2022-05-07,Crystal Palace,Watford,,,
2022-05-07,Leicester,Everton,,,
2022-05-07,Liverpool,Tottenham,,,
2022-05-07,Man City,Newcastle,,,
2022-05-07,Norwich City,West Ham,,,
2022-05-15,Aston Villa,Crystal Palace,,,
2022-05-15,Everton,Brentford,,,
2022-05-15,Leeds,Brighton,,,
2022-05-15,Man United,Chelsea,,,
2022-05-15,Newcastle,Arsenal,,,
2022-05-15,Southampton,Liverpool,,,
2022-05-15,Tottenham,Burnley,,,
2022-05-15,Watford,Leicester,,,
2022-05-15,West Ham,Man City,,,
2022-05-15,Wolves,Norwich City,,,
2022-05-22,Norwich City,Tottenham,,,
2022-05-22,Man City,Aston Villa,,,
2022-05-22,Liverpool,Wolves,,,
2022-05-22,Leicester,Southampton,,,
2022-05-22,Crystal Palace,Man United,,,
2022-05-22,Chelsea,Watford,,,
2022-05-22,Burnley,Newcastle,,,
2022-05-22,Brighton,West Ham,,,
2022-05-22,Brentford,Leeds,,,
2022-05-22,Arsenal,Everton,,,
